match_id,summoner_name,champion,kills,deaths,assists,gold_earned,cs_per_min,damage_done,damage_taken,win
LA1_1517357770,Adc Autofill,Jhin,13,7,6,13274,6.071428571428571,20907,19656,True
LA1_1517357770,XXHomyXX,Nami,1,3,23,8000,0.9285714285714286,6875,14287,True
LA1_1517357770,Sypher ,Malphite,3,4,4,9790,6.714285714285714,16627,18688,False
LA1_1517357770,BRAYAN 135,LeeSin,2,11,11,8532,0.35714285714285715,11599,30482,False
LA1_1517357770,Xnova023,Qiyana,11,9,4,12802,5.535714285714286,26819,28641,False
LA1_1517357770,Spotted Toad,Caitlyn,6,2,4,11004,7.178571428571429,15455,14262,False
LA1_1517357770,cayaaemis,Velkoz,2,8,9,7204,0.8928571428571429,13170,14322,False
LA1_1517345602,DiegooGo,Sylas,10,6,3,10436,4.52,21865,28800,False
LA1_1517345602,,Shaco,4,6,7,8521,1.32,7849,15820,False
LA1_1517345602,udrrrrrr,Yone,5,7,4,8953,5.32,15017,21469,False
LA1_1517345602,YENTI TACAWUA,Caitlyn,1,3,2,7786,6.44,8838,14047,False
LA1_1517345602,SaintGrial,Lulu,1,8,7,5630,1.08,7059,15317,False
LA1_1517345602,JhonnyAguacate,Darius,9,6,4,11659,5.64,19770,24067,True
LA1_1517345602,BRAYAN 135,LeeSin,6,6,9,9627,0.16,15305,25500,True
LA1_1517345602,MELOSGUELI,Malzahar,5,5,9,10651,7.12,17277,11649,True
LA1_1517345602,Spotted Toad,Jhin,9,1,2,11633,6.88,17055,8506,True
LA1_1517345602,LederSayam,TahmKench,1,3,16,7934,1.12,8510,19154,True
LA1_1516008376,BRAYAN 135,Vayne,0,2,2,4232,3.9411764705882355,6573,6811,True
LA1_1516008376,T1 2023,XinZhao,16,2,1,9363,0.8823529411764706,16666,19790,True
LA1_1516008376,piiroo,Cassiopeia,6,3,3,6370,5.411764705882353,9230,8518,True
LA1_1516008376,Spotted Toad,Jhin,7,1,10,8307,5.764705882352941,11229,7697,True
LA1_1516008376, TE BUSCA EL SAT,Lux,4,3,12,6330,1.2352941176470589,12013,6447,True
LA1_1516008376,tbk27,TahmKench,2,4,1,5200,5.705882352941177,8786,15681,False
LA1_1516008376,chetosmorad0s,MasterYi,2,7,2,5827,0.29411764705882354,6193,16474,False
LA1_1516008376,Tarima,Katarina,3,8,1,5579,4.882352941176471,8586,13788,False
LA1_1516008376,FranciscoXTZ ,Smolder,2,6,2,5041,3.4705882352941178,4494,11802,False
LA1_1516008376,Minâ,Nami,2,8,7,4884,0.29411764705882354,5374,10525,False
LA1_1515994026,BRAYAN 135,Camille,3,6,4,9332,6.148148148148148,11572,18464,False
LA1_1515994026,Naı Sora,Kindred,9,7,2,11514,0.48148148148148145,19875,28985,False
LA1_1515994026,piter1517,Heimerdinger,0,6,5,8849,6.592592592592593,16270,14958,False
LA1_1515994026,Spotted Toad,Caitlyn,3,4,4,9803,7.407407407407407,10680,13380,False
LA1_1515994026,Naı Shiro,Lux,2,2,7,7401,1.8888888888888888,12189,8942,False
LA1_1515994026,Twilightsword,Darius,10,3,2,14450,8.074074074074074,19713,22311,True
LA1_1515994026,Trinitrax,Diana,5,5,10,10741,0.6666666666666666,15636,23016,True
LA1_1515994026,x Ace,Lissandra,6,2,6,10477,6.0,15476,18359,True
LA1_1515994026,Dream Ripper,Varus,3,3,4,10557,8.074074074074074,9920,15363,True
LA1_1515994026,Guanabanita1,Seraphine,1,4,11,6996,0.9259259259259259,7229,10322,True
LA1_1515974466,Dont Worryy,Darius,5,7,3,9855,4.964285714285714,13793,27757,True
LA1_1515974466,Chilango Sensei,Warwick,5,6,8,10556,0.6071428571428571,11646,36181,True
LA1_1515974466,Xelian3X,Brand,6,4,6,10542,6.035714285714286,25836,16340,True
LA1_1515974466,Darovita,Vayne,11,3,7,13272,6.857142857142857,24550,17734,True
